biomarker	name	extra_fields
30620	Alanine_aminotransferase	30621|30622
30600	Albumin	30601|30602
30610	Alkaline_phosphatase	30611|30612
30630	Apolipoprotein_A	30631|30632
30640	Apolipoprotein_B	30641|30642
30650	Aspartate_aminotransferase	30651|30652
30710	C_reactive_protein	30711|30712
30680	Calcium	30681|30682
30690	Cholesterol	30691|30692
30700	Creatinine	30701|30702
30720	Cystatin_C	30721|30722
30660	Direct_bilirubin	30661|30662
30730	Gamma_glutamyltransferase	30731|30732
30740	Glucose	30741|30742
30750	Glycated_haemoglobin_HbA1c	30751|30752
30760	HDL_cholesterol	30761|30762
30770	IGF_1	30771|30772
30780	LDL_direct	30781|30782
30790	Lipoprotein_A	30791|30792
30800	Oestradiol	30801|30802
30810	Phosphate	30811|30812
30820	Rheumatoid_factor	30821|30822
30830	SHBG	30831|30832
30850	Testosterone	30851|30852
30840	Total_bilirubin	30841|30842
30860	Total_protein	30861|30862
30870	Triglycerides	30871|30872
30880	Urate	30881|30882
30670	Urea	30671|30672
30890	Vitamin_D	30891|30892
30500	Microalbumin_in_urine	30502
30510	Creatinine_in_urine	30512
30520	Potassium_in_urine	30522
30530	Sodium_in_urine	30532
eGFR	eGFR	30701|30702
FastingGlucose	Fasting_glucose	30741|30742
NonAlbuminProtein	Non_albumin_protein	30861|30601|30862|30602
