trait post count
Alanine_aminotransferase 0.999 46
Alanine_aminotransferase 0.99 73
Alanine_aminotransferase 0.95 103
Alanine_aminotransferase 0.9 125
Alanine_aminotransferase 0.75 173
Alanine_aminotransferase 0.5 284
Albumin 0.999 58
Albumin 0.99 85
Albumin 0.95 112
Albumin 0.9 140
Albumin 0.75 206
Albumin 0.5 322
Alkaline_phosphatase 0.999 157
Alkaline_phosphatase 0.99 207
Alkaline_phosphatase 0.95 257
Alkaline_phosphatase 0.9 294
Alkaline_phosphatase 0.75 391
Alkaline_phosphatase 0.5 608
Apolipoprotein_A 0.999 95
Apolipoprotein_A 0.99 124
Apolipoprotein_A 0.95 171
Apolipoprotein_A 0.9 193
Apolipoprotein_A 0.75 269
Apolipoprotein_A 0.5 401
Apolipoprotein_B_adjstatins 0.999 131
Apolipoprotein_B_adjstatins 0.99 159
Apolipoprotein_B_adjstatins 0.95 208
Apolipoprotein_B_adjstatins 0.9 245
Apolipoprotein_B_adjstatins 0.75 311
Apolipoprotein_B_adjstatins 0.5 454
Apolipoprotein_B 0.999 54
Apolipoprotein_B 0.99 71
Apolipoprotein_B 0.95 96
Apolipoprotein_B 0.9 106
Apolipoprotein_B 0.75 143
Apolipoprotein_B 0.5 212
Aspartate_aminotransferase 0.999 66
Aspartate_aminotransferase 0.99 89
Aspartate_aminotransferase 0.95 120
Aspartate_aminotransferase 0.9 150
Aspartate_aminotransferase 0.75 224
Aspartate_aminotransferase 0.5 357
AST_ALT_ratio 0.999 67
AST_ALT_ratio 0.99 94
AST_ALT_ratio 0.95 129
AST_ALT_ratio 0.9 155
AST_ALT_ratio 0.75 208
AST_ALT_ratio 0.5 342
Calcium 0.999 52
Calcium 0.99 71
Calcium 0.95 94
Calcium 0.9 120
Calcium 0.75 165
Calcium 0.5 268
Cholesterol_adjstatins 0.999 138
Cholesterol_adjstatins 0.99 172
Cholesterol_adjstatins 0.95 217
Cholesterol_adjstatins 0.9 250
Cholesterol_adjstatins 0.75 324
Cholesterol_adjstatins 0.5 487
Cholesterol 0.999 60
Cholesterol 0.99 90
Cholesterol 0.95 107
Cholesterol 0.9 117
Cholesterol 0.75 172
Cholesterol 0.5 255
C_reactive_protein 0.999 77
C_reactive_protein 0.99 99
C_reactive_protein 0.95 132
C_reactive_protein 0.9 157
C_reactive_protein 0.75 218
C_reactive_protein 0.5 302
Creatinine_in_urine 0.999 2
Creatinine_in_urine 0.99 2
Creatinine_in_urine 0.95 3
Creatinine_in_urine 0.9 3
Creatinine_in_urine 0.75 4
Creatinine_in_urine 0.5 13
Creatinine 0.999 145
Creatinine 0.99 190
Creatinine 0.95 276
Creatinine 0.9 334
Creatinine 0.75 459
Creatinine 0.5 725
Cystatin_C 0.999 121
Cystatin_C 0.99 152
Cystatin_C 0.95 215
Cystatin_C 0.9 264
Cystatin_C 0.75 349
Cystatin_C 0.5 553
Direct_bilirubin 0.999 19
Direct_bilirubin 0.99 26
Direct_bilirubin 0.95 32
Direct_bilirubin 0.9 37
Direct_bilirubin 0.75 51
Direct_bilirubin 0.5 86
eGFR 0.999 135
eGFR 0.99 183
eGFR 0.95 259
eGFR 0.9 313
eGFR 0.75 439
eGFR 0.5 682
Fasting_glucose 0.999 0
Fasting_glucose 0.99 0
Fasting_glucose 0.95 1
Fasting_glucose 0.9 1
Fasting_glucose 0.75 1
Fasting_glucose 0.5 1
Gamma_glutamyltransferase 0.999 107
Gamma_glutamyltransferase 0.99 143
Gamma_glutamyltransferase 0.95 202
Gamma_glutamyltransferase 0.9 236
Gamma_glutamyltransferase 0.75 309
Gamma_glutamyltransferase 0.5 507
Glucose 0.999 16
Glucose 0.99 22
Glucose 0.95 32
Glucose 0.9 38
