trait post count
Alanine_aminotransferase 0.999 55
Alanine_aminotransferase 0.99 92
Alanine_aminotransferase 0.95 206
Alanine_aminotransferase 0.9 291
Alanine_aminotransferase 0.75 509
Alanine_aminotransferase 0.5 967
Albumin 0.999 67
Albumin 0.99 117
Albumin 0.95 200
Albumin 0.9 285
Albumin 0.75 542
Albumin 0.5 1055
Alkaline_phosphatase 0.999 222
Alkaline_phosphatase 0.99 298
Alkaline_phosphatase 0.95 423
Alkaline_phosphatase 0.9 535
Alkaline_phosphatase 0.75 812
Alkaline_phosphatase 0.5 1418
Apolipoprotein_A 0.999 138
Apolipoprotein_A 0.99 187
Apolipoprotein_A 0.95 309
Apolipoprotein_A 0.9 425
Apolipoprotein_A 0.75 702
Apolipoprotein_A 0.5 1249
Apolipoprotein_B_adjstatins 0.999 203
Apolipoprotein_B_adjstatins 0.99 260
Apolipoprotein_B_adjstatins 0.95 378
Apolipoprotein_B_adjstatins 0.9 497
Apolipoprotein_B_adjstatins 0.75 754
Apolipoprotein_B_adjstatins 0.5 1305
Apolipoprotein_B 0.999 86
Apolipoprotein_B 0.99 116
Apolipoprotein_B 0.95 190
Apolipoprotein_B 0.9 257
Apolipoprotein_B 0.75 463
Apolipoprotein_B 0.5 856
Aspartate_aminotransferase 0.999 90
Aspartate_aminotransferase 0.99 129
Aspartate_aminotransferase 0.95 221
Aspartate_aminotransferase 0.9 317
Aspartate_aminotransferase 0.75 583
Aspartate_aminotransferase 0.5 1089
Calcium 0.999 61
Calcium 0.99 93
Calcium 0.95 169
Calcium 0.9 258
Calcium 0.75 456
Calcium 0.5 890
Cholesterol_adjstatins 0.999 195
Cholesterol_adjstatins 0.99 252
Cholesterol_adjstatins 0.95 368
Cholesterol_adjstatins 0.9 472
Cholesterol_adjstatins 0.75 722
Cholesterol_adjstatins 0.5 1296
Cholesterol 0.999 78
Cholesterol 0.99 122
Cholesterol 0.95 184
Cholesterol 0.9 242
Cholesterol 0.75 432
Cholesterol 0.5 840
C_reactive_protein 0.999 109
C_reactive_protein 0.99 156
C_reactive_protein 0.95 249
C_reactive_protein 0.9 352
C_reactive_protein 0.75 643
C_reactive_protein 0.5 1153
Creatinine 0.999 163
Creatinine 0.99 240
Creatinine 0.95 410
Creatinine 0.9 570
Creatinine 0.75 889
Creatinine 0.5 1599
Creatinine_in_urine 0.999 3
Creatinine_in_urine 0.99 9
Creatinine_in_urine 0.95 53
Creatinine_in_urine 0.9 94
Creatinine_in_urine 0.75 289
Creatinine_in_urine 0.5 691
Cystatin_C 0.999 166
Cystatin_C 0.99 219
Cystatin_C 0.95 366
Cystatin_C 0.9 505
Cystatin_C 0.75 826
Cystatin_C 0.5 1522
Direct_bilirubin 0.999 57
Direct_bilirubin 0.99 85
Direct_bilirubin 0.95 152
Direct_bilirubin 0.9 233
Direct_bilirubin 0.75 441
Direct_bilirubin 0.5 843
eGFR 0.999 152
eGFR 0.99 233
eGFR 0.95 385
