ALL_ID	PHE_NAME	BETA	SE	T_STAT	P	ADJ_P
DQA1_201	AST_ALT_ratio	-0.036662099999999996	0.00356905	-10.2722	9.48406e-25	8.010719940393392e-22
DRB1_701	AST_ALT_ratio	-0.036629300000000004	0.00356838	-10.265	1.02245e-24	8.523975687767083e-22
DRB3_101	AST_ALT_ratio	-0.031358	0.00336809	-9.310319999999999	1.28217e-20	7.692237445827095e-18
A_1101	AST_ALT_ratio	0.0461981	0.0052895	8.733939999999999	2.47105e-18	1.2392599420286272e-15
B_5701	AST_ALT_ratio	-0.055191	0.00648785	-8.50683	1.79517e-17	8.002652116420255e-15
C_702	AST_ALT_ratio	0.0287127	0.00345148	8.31896	8.90867e-17	3.762358125706944e-14
B_702	AST_ALT_ratio	0.029256099999999997	0.00354539	8.25187	1.5651700000000002e-16	6.399598249216711e-14
DQB1_201	AST_ALT_ratio	-0.029065800000000003	0.0035305999999999996	-8.23253	1.83979e-16	7.474841967178419e-14
DRB1_301	AST_ALT_ratio	-0.028461200000000002	0.00353182	-8.05851	7.74967e-16	3.0334036833173187e-13
DQB1_602	AST_ALT_ratio	0.0292815	0.00363625	8.05264	8.130339999999999e-16	3.1631195882632335e-13
DRB5_101	AST_ALT_ratio	0.027455	0.0035759999999999998	7.677560000000001	1.62608e-14	5.735369051336242e-12
DRB1_1501	AST_ALT_ratio	0.027110000000000002	0.00358491	7.56226	3.97197e-14	1.3490716120789839e-11
DRB5_9901	AST_ALT_ratio	0.025396000000000002	0.00350562	7.2443800000000005	4.3542e-13	1.3634692902175467e-10
C_602	AST_ALT_ratio	-0.0318284	0.00439911	-7.235189999999999	4.659350000000001e-13	1.4310997209776463e-10
DQB1_303	AST_ALT_ratio	-0.0390673	0.00564372	-6.92227	4.453080000000001e-12	1.2061546613908069e-09
A_101	AST_ALT_ratio	-0.021515	0.00318064	-6.76435	1.34142e-11	3.4335322105096805e-09
DQB1_301	AST_ALT_ratio	0.021194099999999997	0.00331992	6.38393	1.7283599999999999e-10	3.673822012759256e-08
DQA1_102	AST_ALT_ratio	0.020122	0.00320544	6.27746	3.44584e-10	7.089757199471293e-08
B_801	AST_ALT_ratio	-0.0222002	0.00358037	-6.20054	5.63398e-10	1.1094009901014199e-07
DRB1_101	AST_ALT_ratio	0.0260295	0.00437859	5.94473	2.772e-09	5.128077729045627e-07
A_2301	AST_ALT_ratio	-0.0524906	0.00974796	-5.38478	7.258380000000001e-08	1.0861086118386427e-05
C_701	AST_ALT_ratio	-0.017716	0.00329494	-5.37673	7.59055e-08	1.1279253222497734e-05
B_4403	AST_ALT_ratio	-0.0283042	0.00536629	-5.27444	1.33246e-07	1.9092685322959466e-05
DRB3_9901	AST_ALT_ratio	-0.013599200000000002	0.00266464	-5.10358	3.3349000000000006e-07	4.469286036063143e-05
DPB1_101	AST_ALT_ratio	-0.026653800000000002	0.00533529	-4.99576	5.86343e-07	7.542964215002766e-05
DPA1_201	AST_ALT_ratio	-0.0170047	0.00355729	-4.78025	1.7515900000000002e-06	0.0002059352364096488
B_3501	AST_ALT_ratio	0.0294707	0.00621891	4.7388900000000005	2.14989e-06	0.000247327774094476
DRB4_101	AST_ALT_ratio	-0.022454	0.00478204	-4.69548	2.6609899999999997e-06	0.00030394693978459946
B_5001	AST_ALT_ratio	-0.0625926	0.0138255	-4.527340000000001	5.975309999999999e-06	0.0006435836907482565
DQA1_301	AST_ALT_ratio	0.014020500000000002	0.00313186	4.476719999999999	7.582660000000001e-06	0.0007979627094070101
DQB1_603	AST_ALT_ratio	-0.025246400000000002	0.00580219	-4.35119	1.35443e-05	0.0013735475635030569
DQA1_101	AST_ALT_ratio	0.015117600000000002	0.00359748	4.2022699999999995	2.64318e-05	0.0025324611114745594
DRB1_1301	AST_ALT_ratio	-0.0241283	0.00578979	-4.16739	3.08195e-05	0.0029223199858311763
DQB1_501	AST_ALT_ratio	0.016037700000000002	0.00385123	4.1643099999999995	3.12372e-05	0.002957557879910418
A_201	AST_ALT_ratio	0.011502	0.00283889	4.05157	5.08867e-05	0.004543245924484024
DQB1_202	AST_ALT_ratio	-0.0289749	0.00721281	-4.01715	5.89222e-05	0.005202779151483947
DRB4_9901	AST_ALT_ratio	-0.0104152	0.00265028	-3.9298599999999997	8.501440000000001e-05	0.0072092064539048374
DQA1_501	AST_ALT_ratio	-0.0109404	0.00303627	-3.60322	0.000314348	0.02431215508595429
DRB3_202	AST_ALT_ratio	0.0135129	0.0037594	3.59444	0.000325142	0.02499639883847636
DPA1_103	AST_ALT_ratio	-0.0116303	0.00324181	-3.5876099999999997	0.00033377900000000003	0.02553805962503129
DRB1_1101	AST_ALT_ratio	0.0275302	0.00807523	3.40922	0.000651572	0.0467337064232989
DPB1_402	AST_ALT_ratio	0.014040299999999999	0.004171	3.36617	0.0007622960000000001	0.053016711761148715
B_2705	AST_ALT_ratio	0.021947099999999997	0.00652489	3.3636	0.000769413	0.05339598905655589
A_3002	AST_ALT_ratio	0.0430155	0.0128155	3.3565199999999997	0.0007893819999999999	0.05448727878270395
DPB1_1701	AST_ALT_ratio	-0.0383171	0.012000700000000001	-3.19291	0.00140861	0.08945179001131062
DQB1_601	AST_ALT_ratio	0.061940999999999996	0.0195579	3.16705	0.00154008	0.09701970398946567
DRB1_1502	AST_ALT_ratio	0.0616914	0.0196058	3.14659	0.00165199	0.10275869140181268
DRB1_401	AST_ALT_ratio	0.012843100000000001	0.00412565	3.11299	0.00185217	0.11302016942270457
