Trait	Population	Spearman correlation (R) to residualized trait	Number of individuals	P-value	Variance explained relative to White British	geno	covar	geno_covar
Alanine aminotransferase	african	0.092	6017	7.78e-13	0.1423	0.0059681533748576	0.175096467453027	0.176460515757123
Albumin	african	0.121	5573	1.7e-19	0.2111	0.012757436617976	0.0879857482851408	0.100809412291243
Alkaline phosphatase	african	0.229	6019	1.07e-72	0.2385	0.0473124829520395	0.06267802557789	0.111307533673328
Apolipoprotein A	african	0.213	5550	9.21e-58	0.2861	0.0388963651662025	0.109087730006487	0.148597602513417
Apolipoprotein B	african	0.318	5962	2.51e-140	0.4347	0.110933394167013	0.0483725251886247	0.156863279944248
Aspartate aminotransferase	african	0.103	5982	1.58e-15	0.1299	0.00768448169384887	0.0992580654714565	0.103342187049798
AST to ALT ratio	african	0.108	5981	4.49e-17	0.1588	0.00900843497503994	0.0952504472395906	0.100386001825906
C-reactive protein	african	0.196	6006	7.61e-53	0.3075	0.0347337120287055	0.0418893008287457	0.0769077377429146
Calcium	african	0.11	5576	1.64e-16	0.1799	0.0139544030775449	0.0646556448553198	0.073490920218729
Cholesterol	african	0.26	6014	1.12e-93	0.3686	0.0753756737511476	0.0588075563563015	0.128200356090485
Creatinine	african	0.146	6016	6.31e-30	0.1866	0.0107192631918601	0.364693802109696	0.370509013602862
Creatinine in urine	african	0.035	5789	0.00794	0.2056	0.00187759444310537	0.113191351787859	0.111650470069087
Cystatin C	african	0.196	6015	2.92e-53	0.2346	0.0243010246805481	0.161874581658426	0.176974585878146
Direct bilirubin	african	0.469	5007	1.71e-272	1.0403	0.198919760547809	0.0679952887783331	0.279377992472057
eGFR	african	0.138	6016	6.48e-27	0.1938	0.0107743586965968	0.169827923133782	0.177685326279001
Gamma glutamyltransferase	african	0.187	6015	1.25e-48	0.2491	0.0300940289108895	0.0934775773921825	0.120989249905209
Glucose	african	0.059	760	0.105	0.0754	0.00406206899196846	0.0483459617427314	0.0516801661678606
HbA1c	african	0.132	4847	3.44e-20	0.1232	0.010668582699279	0.0788995386249871	0.0797439100170679
HDL cholesterol	african	0.241	5573	1.86e-74	0.3027	0.0514025646792351	0.125438919016727	0.174871696432339
IGF-1	african	0.182	5974	1.23e-45	0.2432	0.0326761482577461	0.0894737103143308	0.11454109489607
LDL cholesterol	african	0.289	6003	1.71e-115	0.419	0.0928031944791431	0.0472072143413357	0.133565284196344
